,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
0,INFRATEL,EQ,15-May-2017,374.7,375.8,375.8,368.65,372.0,371.05,371.08,761032,282404441.4,27740,357531,46.98,5,2017,371.05,0.0,Slight or No change
1,INFRATEL,EQ,16-May-2017,371.05,371.15,380.85,370.05,375.75,376.55,377.05,1346372,507645858.5,42924,677288,50.3,5,2017,374.5638236427377,0.014822800161703231,Slight or No change
2,INFRATEL,EQ,17-May-2017,376.55,377.6,396.5,375.1,388.95,389.9,383.22,2268036,869162931.1,83975,1371275,60.46,5,2017,382.5134241584846,0.035453459035984514,Slight or No change
3,INFRATEL,EQ,18-May-2017,389.9,388.4,388.85,377.0,378.55,378.9,382.6,2014628,770791008.2,50270,1025637,50.91,5,2017,381.37420224636105,-0.02821236214413958,Slight or No change
4,INFRATEL,EQ,19-May-2017,378.9,381.1,387.5,374.85,379.4,378.95,379.43,2031322,770752524.35,63099,1020560,50.24,5,2017,380.7894608490997,0.00013196093956202581,Slight or No change
5,INFRATEL,EQ,22-May-2017,378.95,383.7,389.3,376.15,388.2,387.95,385.56,2772691,1069052134.0,73071,1228540,44.31,5,2017,382.5630733911966,0.02374983507058981,Slight or No change
6,INFRATEL,EQ,23-May-2017,387.95,385.0,390.0,378.4,379.9,379.85,382.84,3811223,1459070783.7,60957,2039492,53.51,5,2017,381.8739752090327,-0.02087897924990323,Slight or No change
7,INFRATEL,EQ,24-May-2017,379.85,379.85,382.0,367.2,368.45,369.0,372.49,3134390,1167520763.55,83856,1860115,59.35,5,2017,379.6494581275737,-0.02856390680531795,Slight or No change
8,INFRATEL,EQ,25-May-2017,369.0,369.1,376.35,365.85,368.7,373.5,371.8,7287977,2709679898.7,89929,6053646,83.06,5,2017,377.8869251218486,0.012195121951219523,Slight or No change
9,INFRATEL,EQ,26-May-2017,373.5,370.0,377.2,366.3,369.5,369.95,371.45,1918463,712610729.0,43541,788763,41.11,5,2017,377.33011160005293,-0.009504685408299851,Slight or No change
10,INFRATEL,EQ,29-May-2017,369.95,370.0,381.4,367.7,377.1,379.35,376.57,3887542,1463947606.95,54997,2827505,72.73,5,2017,377.5815197593137,0.025408839032301733,Slight or No change
11,INFRATEL,EQ,30-May-2017,379.35,379.35,379.85,365.65,373.0,372.25,371.46,1273594,473092028.4,28694,420437,33.01,5,2017,377.3726375130856,-0.018716225121919172,Slight or No change
12,INFRATEL,EQ,31-May-2017,372.25,374.25,374.35,360.65,368.2,366.6,365.34,3613527,1320155619.05,132010,2260332,62.55,5,2017,376.2949421201864,-0.015177971793149725,Slight or No change
13,INFRATEL,EQ,01-Jun-2017,366.6,370.1,379.45,369.8,377.0,376.25,375.07,2505966,939912213.15,50681,1369539,54.65,6,2017,376.2920264364374,0.026322967812329345,Slight or No change
14,INFRATEL,EQ,02-Jun-2017,376.25,376.45,382.9,371.0,373.3,374.65,376.87,1334349,502873542.4,37710,496717,37.23,6,2017,376.2371972231404,-0.004252491694352267,Slight or No change
15,INFRATEL,EQ,05-Jun-2017,374.65,381.3,384.9,375.6,380.55,382.45,381.61,3563721,1359941983.55,74109,1871029,52.5,6,2017,376.74588833574626,0.020819431469371485,Slight or No change
16,INFRATEL,EQ,06-Jun-2017,382.45,383.0,388.9,379.8,384.7,383.15,384.02,2537956,974632973.95,53194,1811141,71.36,6,2017,377.0987404746596,0.0018303046149823476,Slight or No change
17,INFRATEL,EQ,07-Jun-2017,383.15,385.75,388.6,379.7,380.4,383.2,383.79,1610112,617938455.05,45025,812548,50.47,6,2017,377.30480536626055,0.00013049719431035278,Slight or No change
18,INFRATEL,EQ,08-Jun-2017,383.2,383.0,383.1,374.8,379.5,379.85,378.44,1107704,419194066.15,20214,342689,30.94,6,2017,377.36260133407546,-0.008742171189978998,Slight or No change
19,INFRATEL,EQ,09-Jun-2017,379.85,379.85,384.75,377.1,383.0,382.65,381.29,1545424,589254785.9,34955,494657,32.01,6,2017,377.5249680647366,0.007371330788469077,Slight or No change
20,INFRATEL,EQ,12-Jun-2017,382.65,380.55,386.0,376.8,384.75,384.75,382.05,1660758,634484310.35,47895,728996,43.9,6,2017,377.7557772814467,0.005488043904351203,Slight or No change
21,INFRATEL,EQ,13-Jun-2017,384.75,385.0,389.85,379.55,381.55,384.2,384.56,1863956,716802446.45,38488,580484,31.14,6,2017,377.9788335835962,-0.0014294996751137434,Slight or No change
